,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,achievement_count,athlete_count,start_date,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count
104,7113312786,Lunch Swim,1.056329,0.4686111111111111,0.46805555555555556,0.0,Swim,Swim,0,1,2022-05-09T12:53:11Z,1.008,1.429,{},True,94.4,153.0,{},{},0
105,7104201628,Morning Ride,12.369799000999999,1.2158333333333333,1.7786111111111111,167.5,Ride,Ride,0,1,2022-05-07T16:35:56Z,4.548,10.571,{},True,109.7,155.0,927.8,851.0,0
106,7094932782,Emigration Canyon,15.135144049,1.2697222222222222,1.4902777777777778,384.3,Ride,Ride,42,2,2022-05-05T22:31:43Z,5.329,14.812,{},True,121.8,160.0,1897.8,1503.2,13
107,7094941250,Afternoon Ride,0.0,0.11388888888888889,0.11388888888888889,0.0,Ride,Ride,0,1,2022-05-05T13:05:39Z,0.0,0.0,{},True,113.7,131.0,{},{},0
108,7094941071,Morning Run,0.929258835,0.13166666666666665,0.13444444444444445,5.9,Run,Run,0,1,2022-05-05T13:18:13Z,3.155,4.788,{},True,144.7,167.0,1355.5,1349.1,0
109,7094942731,Evening Walk,0.9571583480000001,0.5908333333333333,0.6688888888888889,8.8,Walk,Walk,0,1,2022-05-04T01:25:39Z,0.724,3.396,{},True,74.2,95.0,1354.9,1346.0,0
110,7075993251,Morning Swim,0.932055,0.38916666666666666,0.38916666666666666,0.0,Swim,Swim,0,1,2022-05-02T13:30:44Z,1.071,1.471,{},True,165.8,166.0,{},{},0
111,7094942884,Lunch Walk,1.835029884,0.6019444444444444,0.6438888888888888,7.3,Walk,Walk,0,1,2022-05-02T18:44:22Z,1.363,2.392,{},True,86.7,106.0,1356.4,1350.9,0
112,7066329252,Morning Ride,19.975616349,1.6144444444444443,2.0322222222222224,498.7,Ride,Ride,1,2,2022-04-30T15:47:35Z,5.531,18.142,{},True,122.8,167.0,1895.2,1503.2,1
113,7041381360,Afternoon Ride,20.723435144,1.4716666666666667,1.5058333333333334,55.7,Ride,Ride,9,2,2022-04-25T23:02:38Z,6.295,36.272,{},True,113.7,137.0,1355.4,1306.3,2
114,7075583728,Afternoon Swim,1.3980825,0.6263888888888889,0.6263888888888889,0.0,Swim,Swim,0,1,2022-04-22T13:07:34Z,0.998,5.0,{},True,127.2,168.0,{},{},0
115,7007179025,Morning Ride,10.626918288,0.6958333333333333,0.7438888888888889,41.0,Ride,Ride,0,1,2022-04-19T12:53:16Z,6.827,14.059,{},True,144.1,180.0,1355.2,1315.9,0
116,7001892933,Afternoon Ride,0.0,0.42583333333333334,0.42583333333333334,0.0,Ride,Ride,0,1,2022-04-18T13:14:36Z,0.0,0.0,{},True,120.4,161.0,{},{},0
117,6992659861,Morning Ride,19.22829465,1.6822222222222223,2.0,333.6,Ride,Ride,40,1,2022-04-16T15:52:27Z,5.11,14.602,{},True,115.7,162.0,1518.0,1459.7,22
118,7075589869,Afternoon Swim,1.304877,0.6008333333333333,0.6008333333333333,0.0,Swim,Swim,0,1,2022-04-15T13:27:40Z,0.971,5.0,{},True,143.8,153.0,{},{},0
119,6920742836,Morning Ride,12.968488996,0.9413888888888889,1.64,148.5,Ride,Ride,16,1,2022-04-02T14:05:13Z,6.158,23.966,{},False,{},{},1363.3,1322.3,9
120,6887561605,Afternoon Ride,46.424541084,3.0741666666666667,3.5366666666666666,437.9,Ride,Ride,16,2,2022-03-26T16:46:11Z,6.751,14.048,{},False,{},{},1353.6,1282.6,6
121,6840917294,Evening Ride,17.415634086,1.3708333333333333,1.426111111111111,240.5,Ride,Ride,0,1,2022-03-17T23:14:44Z,5.679,12.064,{},False,{},{},1404.8,1322.3,0
122,6053319511,Mill creek & Hogle Zoo,20.346015006,1.9680555555555554,2.2086111111111113,582.8,Ride,Ride,1,2,2021-10-02T14:05:13Z,4.622,14.0,{},False,{},{},1850.5,1459.6,0
